sample_id	population	variety	analysis_group	longitude	latitude
BD01	BD	longinux	rest	121.523846721364	24.855031015996101
BD02	BD	longinux	rest	121.523846721364	24.855031015996101
BD03	BD	longinux	rest	121.523846721364	24.855031015996101
BD04	BD	longinux	rest	121.523846721364	24.855031015996101
BD07	BD	longinux	rest	121.523846721364	24.855031015996101
BD08	BD	longinux	rest	121.523846721364	24.855031015996101
BDY01	BDY	lativiolaciifolia	rest	121.14530187982299	24.080142798731998
BDY02	BDY	lativiolaciifolia	rest	121.14530187982299	24.080142798731998
BDY03	BDY	lativiolaciifolia	rest	121.14530187982299	24.080142798731998
BDY04	BDY	lativiolaciifolia	rest	121.14530187982299	24.080142798731998
BDY05	BDY	lativiolaciifolia	rest	121.14530187982299	24.080142798731998
BL01	TP	lativiolaciifolia	rest	121.51795186897201	24.527962374933299
BL02	TP	lativiolaciifolia	rest	121.51795186897201	24.527962374933299
BL03	TP	lativiolaciifolia	rest	121.51795186897201	24.527962374933299
BL04	TP	lativiolaciifolia	rest	121.51795186897201	24.527962374933299
BX01	BX	longinux	rest	121.422578729531	24.796512851678699
BX02	BX	longinux	rest	121.422578729531	24.796512851678699
BX04	BX	longinux	rest	121.422578729531	24.796512851678699
BX12	BX	longinux	rest	121.422578729531	24.796512851678699
BX13	BX	longinux	rest	121.422578729531	24.796512851678699
CK01	CK	longinux	rest	121.409746919203	23.398614174708701
CK02	CK	longinux	rest	121.409746919203	23.398614174708701
CK03	CK	longinux	rest	121.409746919203	23.398614174708701
CK05	CK	longinux	rest	121.409746919203	23.398614174708701
CK07	CK	longinux	rest	121.409746919203	23.398614174708701
D01	DS	lativiolaciifolia	rest	120.937875288155	24.2354638883549
D02	DS	lativiolaciifolia	rest	120.937875288155	24.2354638883549
D03	DS	lativiolaciifolia	rest	120.937875288155	24.2354638883549
D04	DS	lativiolaciifolia	rest	120.937875288155	24.2354638883549
D05	DS	lativiolaciifolia	rest	120.937875288155	24.2354638883549
D06	DS	lativiolaciifolia	rest	120.937875288155	24.2354638883549
D09	DS	lativiolaciifolia	rest	120.937875288155	24.2354638883549
D10	DS	lativiolaciifolia	rest	120.937875288155	24.2354638883549
D11	DS	lativiolaciifolia	rest	120.937875288155	24.2354638883549
D12	DS	lativiolaciifolia	rest	120.937875288155	24.2354638883549
DD02	DD	longinux	rest	120.73007069677	23.464767228309
DD04	DD	longinux	rest	120.73007069677	23.464767228309
DD08	DD	longinux	rest	120.73007069677	23.464767228309
DD11	DD	longinux	rest	120.73007069677	23.464767228309
DD14	DD	longinux	rest	120.73007069677	23.464767228309
DD15	DD	longinux	rest	120.73007069677	23.464767228309
DL01	DL	lativiolaciifolia	rest	121.176472073432	22.880141083515401
DL02	DL	lativiolaciifolia	rest	121.176472073432	22.880141083515401
DL03	DL	lativiolaciifolia	rest	121.176472073432	22.880141083515401
DL04	DL	lativiolaciifolia	rest	121.176472073432	22.880141083515401
DL05	DL	lativiolaciifolia	rest	121.176472073432	22.880141083515401
DL06	DL	lativiolaciifolia	rest	121.176472073432	22.880141083515401
DL07	DL	lativiolaciifolia	rest	121.176472073432	22.880141083515401
EMS02	MS	longinux	rest	121.452696723646	24.648254817119199
EMS03	MS	longinux	rest	121.452696723646	24.648254817119199
EMS04	MS	longinux	rest	121.452696723646	24.648254817119199
EMS05	MS	longinux	rest	121.452696723646	24.648254817119199
EMS06	MS	longinux	rest	121.452696723646	24.648254817119199
EMS08	MS	longinux	rest	121.452696723646	24.648254817119199
EMS09	MS	longinux	rest	121.452696723646	24.648254817119199
EMS10	MS	longinux	rest	121.452696723646	24.648254817119199
EMS11	MS	longinux	rest	121.452696723646	24.648254817119199
EMS12	MS	longinux	rest	121.452696723646	24.648254817119199
EMS13	MS	longinux	rest	121.452696723646	24.648254817119199
GD01	GD	longinux	rest	121.01347139603401	24.020543683357602
GD03	GD	longinux	rest	121.01347139603401	24.020543683357602
GD04	GD	longinux	rest	121.01347139603401	24.020543683357602
GD05	GD	longinux	rest	121.01347139603401	24.020543683357602
GD06	GD	longinux	rest	121.01347139603401	24.020543683357602
GD07	GD	longinux	rest	121.01347139603401	24.020543683357602
GD08	GD	longinux	rest	121.01347139603401	24.020543683357602
GD09	GD	longinux	rest	121.01347139603401	24.020543683357602
GF01	GF	lativiolaciifolia	rest	121.372193104465	23.670928723534701
GF02	GF	lativiolaciifolia	rest	121.372193104465	23.670928723534701
GF03	GF	lativiolaciifolia	rest	121.372193104465	23.670928723534701
GF05	GF	lativiolaciifolia	rest	121.372193104465	23.670928723534701
GS01	GS	kuoi	kuoi	120.831295637805	22.124121938563899
GS02	GS	kuoi	kuoi	120.831295637805	22.124121938563899
GS03	GS	kuoi	kuoi	120.831295637805	22.124121938563899
GS04	GS	kuoi	kuoi	120.831295637805	22.124121938563899
GS05	GS	kuoi	kuoi	120.831295637805	22.124121938563899
HS03	HS	longinux	rest	121.129190926077	23.0801763039725
HS05	HS	longinux	rest	121.129190926077	23.0801763039725
HS06	HS	longinux	rest	121.129190926077	23.0801763039725
HS07	HS	longinux	rest	121.129190926077	23.0801763039725
HS08	HS	longinux	rest	121.129190926077	23.0801763039725
HS09	HS	longinux	rest	121.129190926077	23.0801763039725
HSL06	HSL	longinux	rest	121.029010221319	24.072951973930799
HSL07	HSL	longinux	rest	121.029010221319	24.072951973930799
HSL08	HSL	longinux	rest	121.029010221319	24.072951973930799
HSL09	HSL	longinux	rest	121.029010221319	24.072951973930799
HSL10	HSL	longinux	rest	121.029010221319	24.072951973930799
HSL11	HSL	longinux	rest	121.029010221319	24.072951973930799
JCG01	JCG	longinux	rest	121.66351389518	24.8780224553356
JCG02	JCG	longinux	rest	121.66351389518	24.8780224553356
JCG03	JCG	longinux	rest	121.66351389518	24.8780224553356
JCG07	JCG	longinux	rest	121.66351389518	24.8780224553356
JCG08	JCG	longinux	rest	121.66351389518	24.8780224553356
JCG09	JCG	longinux	rest	121.66351389518	24.8780224553356
JCG11	JCG	longinux	rest	121.66351389518	24.8780224553356
JCG12	JCG	longinux	rest	121.66351389518	24.8780224553356
JSY01	JSY	longinux	rest	120.771857283435	22.405587436538301
JSY02	JSY	longinux	rest	120.771857283435	22.405587436538301
JSY03	JSY	longinux	rest	120.771857283435	22.405587436538301
JSY04	JSY	longinux	rest	120.771857283435	22.405587436538301
JSY05	JSY	longinux	rest	120.771857283435	22.405587436538301
JSY06	JSY	longinux	rest	120.771857283435	22.405587436538301
JSY07	JSY	longinux	rest	120.771857283435	22.405587436538301
JSY08	JSY	longinux	rest	120.771857283435	22.405587436538301
JSY10	JSY	longinux	rest	120.771857283435	22.405587436538301
JSY12	JSY	longinux	rest	120.771857283435	22.405587436538301
JSY14	JSY	longinux	rest	120.771857283435	22.405587436538301
JSY15	JSY	longinux	rest	120.771857283435	22.405587436538301
JSY18	JSY	longinux	rest	120.771857283435	22.405587436538301
JSY19	JSY	longinux	rest	120.771857283435	22.405587436538301
JSY20	JSY	longinux	rest	120.771857283435	22.405587436538301
JSY21	JSY	longinux	rest	120.771857283435	22.405587436538301
LB01	YL	lativiolaciifolia	rest	121.28066842751799	24.6699372405606
LB03	YL	lativiolaciifolia	rest	121.28066842751799	24.6699372405606
LD01	YL	lativiolaciifolia	rest	121.28066842751799	24.6699372405606
LD02	YL	lativiolaciifolia	rest	121.28066842751799	24.6699372405606
LJ01	LJ	longinux	rest	121.022407968172	22.815611944655799
LJ02	LJ	longinux	rest	121.022407968172	22.815611944655799
LJ03	LJ	longinux	rest	121.022407968172	22.815611944655799
LJ05	LJ	longinux	rest	121.022407968172	22.815611944655799
LJ06	LJ	longinux	rest	121.022407968172	22.815611944655799
LJ07	LJ	longinux	rest	121.022407968172	22.815611944655799
LJ08	LJ	longinux	rest	121.022407968172	22.815611944655799
LZ01	LZ	kuoi	kuoi	120.85920830738399	22.055505230627201
LZ02	LZ	kuoi	kuoi	120.85920830738399	22.055505230627201
LZ03	LZ	kuoi	kuoi	120.85920830738399	22.055505230627201
LZ05	LZ	kuoi	kuoi	120.85920830738399	22.055505230627201
LZ07	LZ	kuoi	kuoi	120.85920830738399	22.055505230627201
LZ08	LZ	kuoi	kuoi	120.85920830738399	22.055505230627201
LZ09	LZ	kuoi	kuoi	120.85920830738399	22.055505230627201
LZ10	LZ	kuoi	kuoi	120.85920830738399	22.055505230627201
NS01	NS	lativiolaciifolia	rest	121.363486311259	24.409414939122101
NS02	NS	lativiolaciifolia	rest	121.363486311259	24.409414939122101
NS03	NS	lativiolaciifolia	rest	121.363486311259	24.409414939122101
NS04	NS	lativiolaciifolia	rest	121.363486311259	24.409414939122101
NS05	NS	lativiolaciifolia	rest	121.363486311259	24.409414939122101
NS06	NS	lativiolaciifolia	rest	121.363486311259	24.409414939122101
NS07	NS	lativiolaciifolia	rest	121.363486311259	24.409414939122101
NS08	NS	lativiolaciifolia	rest	121.363486311259	24.409414939122101
NS09	NS	lativiolaciifolia	rest	121.363486311259	24.409414939122101
SK01	SK	kuoi	kuoi	120.833894657785	22.242604142742302
SK03	SK	kuoi	kuoi	120.833894657785	22.242604142742302
SK04	SK	kuoi	kuoi	120.833894657785	22.242604142742302
SK05	SK	kuoi	kuoi	120.833894657785	22.242604142742302
SK06	SK	kuoi	kuoi	120.833894657785	22.242604142742302
SK07	SK	kuoi	kuoi	120.833894657785	22.242604142742302
SK08	SK	kuoi	kuoi	120.833894657785	22.242604142742302
SLS01	SLS	longinux	rest	120.792612531846	23.632209270112501
SLS02	SLS	longinux	rest	120.792612531846	23.632209270112501
SLS03	SLS	longinux	rest	120.792612531846	23.632209270112501
SLS04	SLS	longinux	rest	120.792612531846	23.632209270112501
SLS05	SLS	longinux	rest	120.792612531846	23.632209270112501
SLS06	SLS	longinux	rest	120.792612531846	23.632209270112501
SMH02	SMH	lativiolaciifolia	rest	121.741712903877	24.396874538310499
SMH04	SMH	lativiolaciifolia	rest	121.741712903877	24.396874538310499
SMH05	SMH	lativiolaciifolia	rest	121.741712903877	24.396874538310499
SMH07	SMH	lativiolaciifolia	rest	121.741712903877	24.396874538310499
SMH08	SMH	lativiolaciifolia	rest	121.741712903877	24.396874538310499
SMH09	SMH	lativiolaciifolia	rest	121.741712903877	24.396874538310499
TP01	TP	lativiolaciifolia	rest	121.51795186897201	24.527962374933299
TP02	TP	lativiolaciifolia	rest	121.51795186897201	24.527962374933299
TR01	TR	lativiolaciifolia	rest	121.39478399405	24.185398392884998
TR02	TR	lativiolaciifolia	rest	121.39478399405	24.185398392884998
TR03	TR	lativiolaciifolia	rest	121.39478399405	24.185398392884998
TR04	TR	lativiolaciifolia	rest	121.39478399405	24.185398392884998
TR05	TR	lativiolaciifolia	rest	121.39478399405	24.185398392884998
TR06	TR	lativiolaciifolia	rest	121.39478399405	24.185398392884998
TZ01	TZ	longinux	rest	120.749514094193	23.066060263204101
TZ02	TZ	longinux	rest	120.749514094193	23.066060263204101
TZ03	TZ	longinux	rest	120.749514094193	23.066060263204101
TZ09	TZ	longinux	rest	120.749514094193	23.066060263204101
TZ10	TZ	longinux	rest	120.749514094193	23.066060263204101
TZ11	TZ	longinux	rest	120.749514094193	23.066060263204101
TZ14	TZ	longinux	rest	120.749514094193	23.066060263204101
TZ15	TZ	longinux	rest	120.749514094193	23.066060263204101
YM01	YM	longinux	rest	121.551399254052	25.159261118255198
YM02	YM	longinux	rest	121.551399254052	25.159261118255198
YM03	YM	longinux	rest	121.551399254052	25.159261118255198
YM04	YM	longinux	rest	121.551399254052	25.159261118255198
YM05	YM	longinux	rest	121.551399254052	25.159261118255198
