K	variety	n	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7
1	kuoi	20	1.0						
1	lativiolaciifolia	57	1.0						
1	longinux	103	1.0						
2	kuoi	20	0.015040000000000001	0.9849600000000003					
2	lativiolaciifolia	57	0.38279649122807047	0.6172035087719298					
2	longinux	103	0.40747961165048563	0.5925203883495145					
3	kuoi	20	0.011325252697559494	0.047362523605308814	0.9413122236971316				
3	lativiolaciifolia	57	0.31651392338002493	0.6671468540263195	0.016339222593655507				
3	longinux	103	0.34288938598735164	0.6127884223330134	0.04432219167963519				
4	kuoi	20	0.833167896888672	0.011078820760053587	0.051521191955981725	0.10423209039529242			
4	lativiolaciifolia	57	0.018590102566909017	0.2917512963959875	0.4489038540248529	0.24075474701225047			
4	longinux	103	0.042003562377537974	0.31313803804632556	0.31460524738785783	0.33025315218827844			
5	kuoi	20	0.09600422873566279	0.7761874583144286	0.01001576757565804	0.012325112753492962	0.10546743262075749		
5	lativiolaciifolia	57	0.20419501908866544	0.017793758585606903	0.27092226783787	0.3600992224167074	0.1469897320711504		
5	longinux	103	0.22682227811433853	0.033173516979215806	0.28692586012888305	0.1917495612392642	0.2613287835382984		
6	kuoi	20	0.09801309122205916	0.008650433310160202	0.01257103760108427	0.08789116197334158	0.7793686855477188	0.013505590345636111	
6	lativiolaciifolia	57	0.15483833893481744	0.26548378249903165	0.10954173224137603	0.18295077057042478	0.012572831488892574	0.2746125442654577	
6	longinux	103	0.23233373762878104	0.27923287818577747	0.12348984817003207	0.19731709916764004	0.029892016264808568	0.13773442058296104	
7	kuoi	20	0.011826207616836807	0.05633660669091822	0.007850705864337434	0.035514236009912964	0.00864085589285322	0.0978490983155054	0.7819822896096361
7	lativiolaciifolia	57	0.25933213592657617	0.15057083591965362	0.25699000277803774	0.06391117317439775	0.12987596022874717	0.12810699330298977	0.01121289866959777
7	longinux	103	0.11488374928475208	0.15169388641795137	0.26291255988247436	0.16023728667579676	0.08958211473574891	0.19390297845781757	0.026787424545458814
